,uni,bi,tri
白马啸西风,8.240228592,4.235945214,1.85920083
碧血剑,9.031029381,5.523719232,2.575269575
飞狐外传,8.907123167,5.390154949,2.592634474
连城诀,8.719280815,5.005453756,2.319599289
鹿鼎记,8.807657778,5.433554751,2.994002216
三十三剑客图,9.196565683,4.904299948,1.384907691
射雕英雄传,8.949406322,5.554137012,2.90169747
神雕侠侣,8.945241119,5.656242396,2.991144442
书剑恩仇录,9.009944952,5.415865608,2.609972598
天龙八部,8.939654175,5.583326578,3.013320266
侠客行,8.731471331,5.133635428,2.483569731
笑傲江湖,8.812343905,5.429717721,2.942797532
雪山飞狐,8.779887412,4.874408351,1.987181195
倚天屠龙记,8.968928105,5.56423498,2.919892557
鸳鸯刀,8.380225968,3.990032379,1.424869748
越女剑,8.17845427,3.53525215,1.182165123
